id;points;sender_name;is_active;s_mpp;is_trust;notes;phone;is_mms;is_http;admin_id
1;37454;Directives application Home Loan Account;false;false;false;Practical Fresh Pants;176-009-7892 x0191;true;false;61165
2;52475;web-readiness;false;true;true;Steel zero administration;240.761.3595;false;false;85994
3;60754;Table Small Frozen Sausages Planner;true;false;false;Intelligent;(246) 164-8019 x3216;true;false;42515
4;52006;Mayotte;false;false;true;connect Markets Chief;793.051.5093 x837;false;true;82873
5;58675;Specialist Home Loan Account;false;false;false;Car Industrial deliverables;120.081.7777;true;true;7404
6;92630;deposit Internal;true;true;false;Ergonomic;363.675.6285;false;false;11959
7;97171;synthesizing hard drive Robust;false;false;false;system Small;120-864-3556 x912;true;false;53984
8;75555;User-centric;false;true;false;Salad Web virtual;184-821-4885 x3818;false;false;90682
9;11005;Profit-focused;false;false;true;SQL Games;1-544-261-2329 x132;true;true;70301
10;40383;Tasty Concrete Chips Exclusive;true;false;true;Plastic;026.954.0023 x96261;true;false;44778
